Cell	nCount_Spatial	nFeature_Spatial	percent.mito	seurat_clusters	celltype	Cluster
70866960394600	9098	2521	9.144867	6	Vessels	6
67430986562500	7275	2379	8.756014	5	VZ+IZ	5
73443940775600	7085	2359	9.216655	1	VZ+IZ	1
67430986558300	8564	2604	8.559085	1	VZ+IZ	1
72155450586600	7666	2463	7.644143	0	VZ+IZ	0
67001489833300	9418	2633	9.885326	3	iEGL	3
72584947312800	8387	2333	11.040897	3	iEGL	3
73014444042200	14990	3480	6.337558	2	oEGL	2
67001489832700	7737	2533	8.181466	0	VZ+IZ	0
67001489828800	9286	2820	6.299806	1	VZ+IZ	1
73014444046600	11397	3031	7.501974	2	oEGL	2
73443940774000	9431	2836	7.390521	0	VZ+IZ	0
58411555239800	8702	2695	7.34314	0	VZ+IZ	0
58841051966600	12976	3064	9.74106	2	oEGL	2
58841051971100	15182	3529	5.723884	2	oEGL	2
58411555239100	8492	2593	8.160622	1	VZ+IZ	1
59270548700600	8386	2422	10.207489	3	iEGL	3
56693568322700	6013	1769	13.570597	3	iEGL	3
56693568319700	9072	2554	7.991623	5	VZ+IZ	5
56264071590900	10016	2864	7.717652	0	VZ+IZ	0
61418032345500	8761	2703	6.551763	6	Vessels	6
61418032347100	7819	2549	5.857527	0	VZ+IZ	0
54975581402300	8413	2341	9.948889	3	iEGL	3
54116587944200	7461	2085	9.730599	3	iEGL	3
51969104296100	7036	2089	10.417851	3	iEGL	3
71296457122100	7833	2046	5.719392	4	Chroid plexus	4
51969104295100	11434	2962	8.212349	2	oEGL	2
70437463670100	12396	3480	5.203291	7	RL	7
57123065052200	5443	1668	12.860555	3	iEGL	3
70866960393900	18459	3984	4.854001	9	oEGL	9
70866960394800	8901	2731	9.493315	0	VZ+IZ	0
52828097754800	11453	2855	8.382083	2	oEGL	2
70866960397200	7624	2461	5.43022	0	VZ+IZ	0
56693568318500	10196	2914	6.522166	4	Chroid plexus	4
70437463669200	6901	2186	9.998551	5	VZ+IZ	5
56264071592800	6146	1730	12.00781	3	iEGL	3
71296457124500	9795	2848	7.718224	1	VZ+IZ	1
71296457125000	9313	2786	6.582197	0	VZ+IZ	0
71296457127600	7884	2540	7.369356	6	Vessels	6
71296457128400	8244	2618	7.641921	1	VZ+IZ	1
71725953855000	9535	2849	6.50236	0	VZ+IZ	0
71725953855700	8181	2517	7.052928	0	VZ+IZ	0
70007966935700	8570	2617	8.844807	0	VZ+IZ	0
62277025808200	10566	3041	6.142343	7	RL	7
58411555239400	8533	2588	7.078402	1	VZ+IZ	1
58411555239300	7921	2506	8.534276	0	VZ+IZ	0
77738908069900	7539	2228	6.167927	4	Chroid plexus	4
69578470206000	9000	2677	8.088889	5	VZ+IZ	5
69578470208900	7286	2345	6.340928	0	VZ+IZ	0
51969104295000	10327	2732	7.640167	2	oEGL	2
69578470210700	7729	2266	9.27675	2	oEGL	2
71725953857000	8132	2548	6.554353	0	VZ+IZ	0
